epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,10847.4,1.00503,1.02676,0.00994,0.92794,0.85873,0.94206,0.73171,0.90462,0.80709,0.00822,0.0214094,0.00713645,0.0214094,0.00713645,0.0214094,0.00713645,0.0214094,0.00713645
76,1386.11,0.88542,0.84481,0.00863,0.89149,0.88492,0.93989,0.73106,0.89981,0.79455,0.00811,0.0212032,0.00706775,0.0212032,0.00706775,0.0212032,0.00706775,0.0212032,0.00706775
77,1108.48,0.84529,0.79361,0.00822,0.89616,0.88545,0.94095,0.73177,0.90064,0.79453,0.00815,0.0209958,0.00699859,0.0209958,0.00699859,0.0209958,0.00699859,0.0209958,0.00699859
78,2220.8,0.90448,0.87514,0.00883,0.89588,0.88981,0.94399,0.73175,0.90148,0.7994,0.00813,0.020787,0.00692901,0.020787,0.00692901,0.020787,0.00692901,0.020787,0.00692901
79,3350.85,0.88934,0.86322,0.00878,0.88357,0.90154,0.94562,0.7337,0.89947,0.79877,0.00806,0.020577,0.00685901,0.020577,0.00685901,0.020577,0.00685901,0.020577,0.00685901
80,4467.36,0.89596,0.8618,0.00877,0.88944,0.90196,0.9458,0.73281,0.8983,0.80273,0.00809,0.0203658,0.00678861,0.0203658,0.00678861,0.0203658,0.00678861,0.0203658,0.00678861
81,1380.75,0.78362,0.72496,0.00754,0.89229,0.89955,0.94618,0.73401,0.8979,0.79515,0.00809,0.0201535,0.00671783,0.0201535,0.00671783,0.0201535,0.00671783,0.0201535,0.00671783
82,2503.61,0.85511,0.81621,0.00827,0.90625,0.90825,0.94932,0.7344,0.89802,0.80803,0.00812,0.0199401,0.00664669,0.0199401,0.00664669,0.0199401,0.00664669,0.0199401,0.00664669
83,3600.23,0.85849,0.82776,0.00843,0.91539,0.89746,0.94952,0.73592,0.89831,0.80053,0.00812,0.0197256,0.00657521,0.0197256,0.00657521,0.0197256,0.00657521,0.0197256,0.00657521
84,1399.2,0.73659,0.69201,0.00704,0.90184,0.91531,0.94989,0.73564,0.89698,0.79987,0.00811,0.0195102,0.0065034,0.0195102,0.0065034,0.0195102,0.0065034,0.0195102,0.0065034
85,2557.88,0.82138,0.78952,0.00795,0.89255,0.90902,0.94626,0.734,0.89844,0.81226,0.00811,0.0192938,0.00643128,0.0192938,0.00643128,0.0192938,0.00643128,0.0192938,0.00643128
86,3721.14,0.8395,0.80786,0.00823,0.90105,0.8999,0.94603,0.73336,0.89878,0.8143,0.00812,0.0190766,0.00635887,0.0190766,0.00635887,0.0190766,0.00635887,0.0190766,0.00635887
87,965.573,0.70242,0.64624,0.00669,0.89865,0.89757,0.94441,0.73214,0.89891,0.81612,0.00812,0.0188585,0.00628618,0.0188585,0.00628618,0.0188585,0.00628618,0.0188585,0.00628618
88,2111.49,0.7995,0.74149,0.00772,0.92335,0.87052,0.94353,0.73071,0.89898,0.81794,0.00811,0.0186397,0.00621324,0.0186397,0.00621324,0.0186397,0.00621324,0.0186397,0.00621324
