epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
96,3505.89,1.15952,0.7854,0.01012,0.89267,0.89254,0.93478,0.69953,0.95634,0.42587,0.00848,0.00163151,0.000543837,0.00163151,0.000543837,0.00163151,0.000543837,0.00163151,0.000543837
97,3874.95,1.15373,0.78124,0.01016,0.88721,0.89667,0.93563,0.70059,0.95404,0.42622,0.00846,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081
98,4231.07,1.15378,0.78624,0.01013,0.8914,0.89531,0.93623,0.70051,0.9529,0.42734,0.00842,0.00158495,0.000528318,0.00158495,0.000528318,0.00158495,0.000528318,0.00158495,0.000528318
99,4565.96,1.15458,0.78176,0.01006,0.89268,0.89632,0.93517,0.69958,0.95053,0.43183,0.00838,0.00156164,0.000520548,0.00156164,0.000520548,0.00156164,0.000520548,0.00156164,0.000520548
100,4898.34,1.14224,0.7684,0.00999,0.89243,0.88972,0.93742,0.70112,0.94865,0.42829,0.00837,0.00153833,0.000512775,0.00153833,0.000512775,0.00153833,0.000512775,0.00153833,0.000512775
101,5234.89,1.14203,0.7698,0.01006,0.89179,0.88975,0.9377,0.70179,0.9478,0.42604,0.00836,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
102,5571.3,1.13976,0.77227,0.00985,0.89673,0.88987,0.93724,0.70205,0.94638,0.42828,0.00835,0.00149167,0.000497225,0.00149167,0.000497225,0.00149167,0.000497225,0.00149167,0.000497225
103,5931.41,1.13995,0.77574,0.00995,0.8876,0.89684,0.93784,0.7029,0.94607,0.42659,0.00833,0.00146836,0.000489452,0.00146836,0.000489452,0.00146836,0.000489452,0.00146836,0.000489452
104,6272.09,1.13331,0.76168,0.00982,0.88446,0.90067,0.93733,0.70269,0.9456,0.42645,0.00832,0.00144505,0.000481682,0.00144505,0.000481682,0.00144505,0.000481682,0.00144505,0.000481682
105,6596.75,1.13697,0.764,0.00993,0.88718,0.89982,0.93787,0.70306,0.94786,0.42403,0.00834,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919
106,6918.91,1.13976,0.7664,0.00993,0.88526,0.89882,0.93768,0.70303,0.94587,0.42269,0.00835,0.00139849,0.000466163,0.00139849,0.000466163,0.00139849,0.000466163,0.00139849,0.000466163
107,7241.06,1.12987,0.76357,0.00979,0.88374,0.90122,0.93755,0.70401,0.94594,0.41984,0.00835,0.00137525,0.000458416,0.00137525,0.000458416,0.00137525,0.000458416,0.00137525,0.000458416
108,7576.73,1.13232,0.75887,0.00989,0.89233,0.89544,0.93897,0.7053,0.9441,0.42104,0.00831,0.00135204,0.000450682,0.00135204,0.000450682,0.00135204,0.000450682,0.00135204,0.000450682
109,7916.81,1.12624,0.76441,0.00987,0.88954,0.89726,0.94026,0.70599,0.9431,0.42077,0.00832,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296
110,8247.74,1.1143,0.73682,0.00972,0.8961,0.89775,0.9408,0.70704,0.94246,0.42132,0.00832,0.00130576,0.000435254,0.00130576,0.000435254,0.00130576,0.000435254,0.00130576,0.000435254
111,8608.26,1.12492,0.75473,0.00973,0.89271,0.89857,0.94106,0.70738,0.94115,0.42287,0.00829,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565
112,8967.55,1.12394,0.76294,0.00973,0.89836,0.8942,0.94031,0.70734,0.93914,0.42192,0.00826,0.00125969,0.000419895,0.00125969,0.000419895,0.00125969,0.000419895,0.00125969,0.000419895
113,9463.65,1.12171,0.73873,0.00982,0.88862,0.89734,0.94009,0.70684,0.93865,0.4202,0.00824,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246
114,9784.4,1.11361,0.74059,0.00986,0.90099,0.89311,0.94071,0.70827,0.93866,0.41861,0.00827,0.00121386,0.00040462,0.00121386,0.00040462,0.00121386,0.00040462,0.00121386,0.00040462
115,10118.4,1.11489,0.74518,0.00972,0.90279,0.88706,0.94123,0.70932,0.93786,0.41773,0.00825,0.00119106,0.000397019,0.00119106,0.000397019,0.00119106,0.000397019,0.00119106,0.000397019
116,10466.2,1.10977,0.74608,0.00973,0.90511,0.88615,0.94191,0.70933,0.93747,0.4183,0.00824,0.00116833,0.000389445,0.00116833,0.000389445,0.00116833,0.000389445,0.00116833,0.000389445
117,10804.7,1.10925,0.73111,0.00965,0.90129,0.89106,0.94212,0.71028,0.93644,0.41654,0.00824,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899
118,11147.9,1.108,0.73481,0.0095,0.90972,0.89397,0.94396,0.71198,0.93618,0.41372,0.00823,0.00112315,0.000374383,0.00112315,0.000374383,0.00112315,0.000374383,0.00112315,0.000374383
119,313.767,0.99963,0.64192,0.00848,0.90946,0.89119,0.94392,0.71184,0.93523,0.41493,0.00822,0.0011007,0.000366899,0.0011007,0.000366899,0.0011007,0.000366899,0.0011007,0.000366899
120,635.833,1.02507,0.65629,0.00871,0.91173,0.89121,0.94372,0.71133,0.93659,0.41306,0.00824,0.00107835,0.00035945,0.00107835,0.00035945,0.00107835,0.00035945,0.00107835,0.00035945
121,996.825,1.03406,0.66208,0.00873,0.90836,0.89058,0.9431,0.71065,0.93748,0.41325,0.00828,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037
122,1582.11,1.04642,0.67963,0.00895,0.90926,0.89218,0.9422,0.71041,0.9372,0.41301,0.00828,0.00103398,0.000344661,0.00103398,0.000344661,0.00103398,0.000344661,0.00103398,0.000344661
123,1920.51,1.06589,0.69664,0.00913,0.90414,0.8938,0.94132,0.70949,0.93794,0.41261,0.00828,0.00101197,0.000337325,0.00101197,0.000337325,0.00101197,0.000337325,0.00101197,0.000337325
124,2266.78,1.07727,0.70513,0.00933,0.90884,0.89173,0.94153,0.70969,0.93753,0.41321,0.00826,0.00099009,0.00033003,0.00099009,0.00033003,0.00099009,0.00033003,0.00099009,0.00033003
125,2608.44,1.08605,0.71606,0.00935,0.90596,0.89027,0.94031,0.70904,0.93681,0.41338,0.00826,0.000968335,0.000322778,0.000968335,0.000322778,0.000968335,0.000322778,0.000968335,0.000322778
